video_id,CLIP Score,PickScore,selected_by,Timestamp,Filename,Prompt,Prior Noise,Temporal Consistency,Embedding Distance,Best,__source_file,_row_id
ApplyMakeup,0.3285,20.07,CLIP#1 + PICK#1,2025-08-11 19:59:54,A_small_robot_carefully_applies_eyeliner_with_a_thin_brush_in_her_bathroom_0.5.mp4,A small robot carefully applies eyeliner with a thin brush in her bathroom,0.5,0.9621,0.6663,XXX,/scratch/rs02358/ved_dissertation/MotionDirector/outputs/inference/ALL-MotionDirector.csv,8
ApplyMakeup,0.3206,19.9158,CLIP#2 + PICK#2,2025-08-11 19:59:35,A_small_robot_carefully_applies_eyeliner_with_a_thin_brush_in_her_bathroom_0.3.mp4,A small robot carefully applies eyeliner with a thin brush in her bathroom,0.3,0.9886,0.6783,,/scratch/rs02358/ved_dissertation/MotionDirector/outputs/inference/ALL-MotionDirector.csv,7
BoxingPunchingBag,0.4104,21.1758,CLIP#1 + PICK#1,2025-08-12 11:04:02,A_man_wearing_white_tank_top_practices_cooking_flipping_pancakes_in_his_garage_home_gym_0.1.mp4,"A man wearing white tank top practices cooking, flipping pancakes in his garage home gym",0.1,0.9614,0.582599997520447,XXX(motion-num),/scratch/rs02358/ved_dissertation/MotionDirector/outputs/inference/ALL-MotionDirector.csv,15
BoxingPunchingBag,0.3605,21.1078,CLIP#2 + PICK#2,2025-08-12 11:04:21,A_man_wearing_white_tank_top_practices_cooking_flipping_pancakes_in_his_garage_home_gym_0.3.mp4,"A man wearing white tank top practices cooking, flipping pancakes in his garage home gym",0.3,0.9677,0.63510000705719,,/scratch/rs02358/ved_dissertation/MotionDirector/outputs/inference/ALL-MotionDirector.csv,16
BrushingTeeth,0.4077,22.5528,CLIP#1 + PICK#1,2025-08-12 11:08:56,A_crystal_skeleton_is_brushing_its_teeth_in_a_bathroom_0.1.mp4,A crystal skeleton is brushing its teeth in a bathroom,0.1,0.9765,0.5886,XXX(Subject-num),/scratch/rs02358/ved_dissertation/MotionDirector/outputs/inference/ALL-MotionDirector.csv,18
BrushingTeeth,0.3585,22.2282,PICK#2,2025-08-12 11:11:21,A_young_girl_with_long_blonde_hair_is_brushing_her_teeth_at_Heathrow_Airport_0.3.mp4,A young girl with long blonde hair is brushing her teeth at Heathrow Airport,0.3,0.9545,0.6362,,/scratch/rs02358/ved_dissertation/MotionDirector/outputs/inference/ALL-MotionDirector.csv,25
BrushingTeeth,0.3925,22.2069,CLIP#2,2025-08-12 11:09:23,A_crystal_skeleton_is_brushing_its_teeth_in_a_bathroom_0.3.mp4,A crystal skeleton is brushing its teeth in a bathroom,0.3,0.9613,0.6008,XXX(Subject-appearance),/scratch/rs02358/ved_dissertation/MotionDirector/outputs/inference/ALL-MotionDirector.csv,19
CleanAndJerk,0.3287,21.2953,CLIP#2 + PICK#1,2025-08-12 11:19:05,A_muscular_alien_performs_an_impressive_snatch_lifting_a_heavy_barbell_overhead_in_a_gym_0.3.mp4,"A muscular alien performs an impressive snatch, lifting a heavy barbell overhead in a gym",0.3,0.9773,0.6683,XXX,/scratch/rs02358/ved_dissertation/MotionDirector/outputs/inference/ALL-MotionDirector.csv,28
CleanAndJerk,0.3375,20.7466,CLIP#1,2025-08-12 11:18:51,A_muscular_alien_performs_an_impressive_snatch_lifting_a_heavy_barbell_overhead_in_a_gym_0.1.mp4,"A muscular alien performs an impressive snatch, lifting a heavy barbell overhead in a gym",0.1,0.9471,0.6551,,/scratch/rs02358/ved_dissertation/MotionDirector/outputs/inference/ALL-MotionDirector.csv,27
CleanAndJerk,0.2834,21.2817,PICK#2,2025-08-12 11:21:25,A_strong_man_performs_an_impressive_snatch_lifting_a_heavy_barbell_overhead_in_front_of_Buckingham_Palace_0.5.mp4,"A strong man performs an impressive snatch, lifting a heavy barbell overhead in front of Buckingham Palace",0.5,0.9875,0.7152,XXX(background-appearance),/scratch/rs02358/ved_dissertation/MotionDirector/outputs/inference/ALL-MotionDirector.csv,35
Fencing,0.3949,22.1261,CLIP#2 + PICK#1,2025-08-12 11:33:09,Two_focused_fencers_in_white_uniforms_duel_on_a_strip_inside_a_business_office_0.5.mp4,Two focused fencers in white uniforms duel on a strip inside a business office,0.5,0.9613,0.5997,XXX(background-appearance),/scratch/rs02358/ved_dissertation/MotionDirector/outputs/inference/ALL-MotionDirector.csv,38
Fencing,0.4074,21.6207,CLIP#1,2025-08-12 11:32:25,Two_focused_fencers_in_white_uniforms_duel_on_a_strip_inside_a_business_office_0.1.mp4,Two focused fencers in white uniforms duel on a strip inside a business office,0.1,0.9635,0.5874,XXX,/scratch/rs02358/ved_dissertation/MotionDirector/outputs/inference/ALL-MotionDirector.csv,36
Fencing,0.3896,21.6238,PICK#2,2025-08-12 11:32:43,Two_focused_fencers_in_white_uniforms_duel_on_a_strip_inside_a_business_office_0.3.mp4,Two focused fencers in white uniforms duel on a strip inside a business office,0.3,0.9809,0.6071,,/scratch/rs02358/ved_dissertation/MotionDirector/outputs/inference/ALL-MotionDirector.csv,37
GolfSwing,0.3191,21.7372,PICK#1,2025-08-12 11:49:50,A_wizard_is_practising_his_golf_swing_on_the_green_front_lawn_of_a_brick_house_0.3.mp4,A wizard is practising his golf swing on the green front lawn of a brick house,0.3,0.9595,0.6766,,/scratch/rs02358/ved_dissertation/MotionDirector/outputs/inference/ALL-MotionDirector.csv,52
GolfSwing,0.3539,20.7408,CLIP#1,2025-08-12 11:46:50,A_man_is_practising_his_football_dribble_on_the_green_front_lawn_of_a_brick_house_0.1.mp4,A man is practising his football dribble on the green front lawn of a brick house,0.1,0.8985,0.6341,,/scratch/rs02358/ved_dissertation/MotionDirector/outputs/inference/ALL-MotionDirector.csv,45
GolfSwing,0.3168,21.6609,PICK#2,2025-08-12 11:50:13,A_wizard_is_practising_his_golf_swing_on_the_green_front_lawn_of_a_brick_house_0.5.mp4,A wizard is practising his golf swing on the green front lawn of a brick house,0.5,0.9601,0.6773,,/scratch/rs02358/ved_dissertation/MotionDirector/outputs/inference/ALL-MotionDirector.csv,53
GolfSwing,0.3513,21.1061,CLIP#2,2025-08-12 11:47:43,A_man_is_practising_his_football_dribble_on_the_green_front_lawn_of_a_brick_house_0.5.mp4,A man is practising his football dribble on the green front lawn of a brick house,0.5,0.9408,0.6411,XXX,/scratch/rs02358/ved_dissertation/MotionDirector/outputs/inference/ALL-MotionDirector.csv,47
HandstandWalking,0.3381,21.3984,CLIP#1 + PICK#1,2025-08-12 11:53:39,An_athletic_person_does_a_yoga_pose_on_a_grassy_hill_under_a_vast_blue_sky_0.1.mp4,An athletic person does a yoga pose on a grassy hill under a vast blue sky,0.1,0.9775,0.659,,/scratch/rs02358/ved_dissertation/MotionDirector/outputs/inference/ALL-MotionDirector.csv,54
