video_id,CLIP Score,PickScore,selected_by,Timestamp,Filename,Prompt,Style,rfc,cfg,Temporal Consistency,Embedding Distance,Unnamed: 11,__source_file,_row_id
ApplyMakeup,0.2639,18.2362,PICK#1,2025-08-13 12:46:45,animation-0005_cfg12.mp4,"A focused woman carefully applies eyeliner with a thin brush in her bathroom, anime style",anime2,0.3,12,0.968,0.7325,,/scratch/rs02358/ved_dissertation/CCEdit/outputs/tv2v/ALL-CCEdit.csv,10
ApplyMakeup,0.3029,17.8004,CLIP#1,2025-08-12 23:33:50,animation-0003_prior0.1_cfg12.mp4,"A focused woman carefully applies eyeliner with a thin brush in her bathroom, mecha style",mecha,0.1,12,0.861,0.6775,,/scratch/rs02358/ved_dissertation/CCEdit/outputs/tv2v/ALL-CCEdit.csv,17
ApplyMakeup,0.2965,17.8623,PICK#2,2025-08-12 23:33:27,animation-0002_prior0.1_cfg9.mp4,"A focused woman carefully applies eyeliner with a thin brush in her bathroom, mecha style",mecha,0.1,9,0.8962,0.689,,/scratch/rs02358/ved_dissertation/CCEdit/outputs/tv2v/ALL-CCEdit.csv,15
ApplyMakeup,0.2992,17.5669,CLIP#2,2025-08-12 23:32:58,animation-0001_prior0.1.mp4,"A focused woman carefully applies eyeliner with a thin brush in her bathroom, mecha style",mecha,0.1,5,0.9342,0.6924,,/scratch/rs02358/ved_dissertation/CCEdit/outputs/tv2v/ALL-CCEdit.csv,13
BoxingPunchingBag,0.3526,19.6225,PICK#1,2025-08-13 13:18:10,animation-0002.mp4,"A man wearing white tank top practices boxing, punching a red heavy bag in his garage home gym, anime style",anime1,0.3,9,0.957,0.642,,/scratch/rs02358/ved_dissertation/CCEdit/outputs/tv2v/ALL-CCEdit.csv,26
BoxingPunchingBag,0.3831,18.188,CLIP#1,2025-08-13 13:29:59,animation-0001.mp4,"A man wearing white tank top practices boxing, punching a red heavy bag in his garage home gym, anime style",anime2,0.1,5,0.9546,0.612200021743774,XXX,/scratch/rs02358/ved_dissertation/CCEdit/outputs/tv2v/ALL-CCEdit.csv,31
BoxingPunchingBag,0.3622,19.3644,PICK#2,2025-08-13 13:29:42,animation-0000.mp4,"A man wearing white tank top practices boxing, punching a red heavy bag in his garage home gym, anime style",anime2,0.3,5,0.9569,0.632499992847443,,/scratch/rs02358/ved_dissertation/CCEdit/outputs/tv2v/ALL-CCEdit.csv,30
BoxingPunchingBag,0.3808,18.8734,CLIP#2,2025-08-13 13:30:16,animation-0003.mp4,"A man wearing white tank top practices boxing, punching a red heavy bag in his garage home gym, anime style",anime2,0.1,9,0.9577,0.614099979400635,,/scratch/rs02358/ved_dissertation/CCEdit/outputs/tv2v/ALL-CCEdit.csv,33
BrushingTeeth,0.3614,19.7902,PICK#1,2025-08-13 15:08:14,animation-0001.mp4,"A young girl with long blonde hair is brushing her teeth in a bathroom, anime style",anime1,0.1,5,0.9286,0.6284,XXX,/scratch/rs02358/ved_dissertation/CCEdit/outputs/tv2v/ALL-CCEdit.csv,49
BrushingTeeth,0.3773,19.3135,CLIP#1,2025-08-13 15:04:57,animation-0005.mp4,"A young girl with long blonde hair is brushing her teeth in a bathroom, mecha style",mecha,0.1,12,0.9236,0.612900018692017,,/scratch/rs02358/ved_dissertation/CCEdit/outputs/tv2v/ALL-CCEdit.csv,65
